"year","month","mintemp","maxtemp","meantemp","precipitation","locally_measured","battery_low","warm_days","cool_precip","warm_precip","anomaly_ppt","anomaly_mint","anomaly_maxt","anomaly_meant"
1998,8,14.8758064516129,30.5383870967742,26.4617483457403,52.358,FALSE,NA,217,90.424,261.364838709677,0.805631635636252,-2.5241935483871,-1.8616129032258,1.56174834574028
1998,9,18.0046666666667,33.0726666666667,25.4961111111111,9.398,TRUE,NA,217,90.424,266.610266666667,0.291772741384663,3.70466666666666,2.17266666666667,2.89611111111111
1998,10,11.6230967741935,26.3293548387097,18.7663602150538,27.94,TRUE,NA,217.806451612903,90.424,251.421612903226,0.881388012618296,3.62309677419355,0.129354838709677,1.66636021505376
1998,11,5.54693333333333,21.1353333333333,12.9632875,13.208,TRUE,NA,221.433333333333,90.6102666666667,265.3826,0.637759536455818,3.74693333333333,1.03533333333333,2.0632875
1998,12,0.909612903225806,15.1278709677419,7.54111693548387,12.192,TRUE,NA,225.387096774194,80.436064516129,260.672129032258,0.375600739371534,2.60961290322581,0.0278709677419364,0.841116935483871
1999,1,1.81212903225806,18.1474193548387,9.29159811827957,0,TRUE,NA,231.838709677419,60.0914838709677,258.853161290323,0,3.31212903225806,2.84741935483871,2.39159811827957
1999,2,2.77285714285714,20.7275,11.5464806547619,0,TRUE,NA,238.785714285714,41.148,258.749571428571,0,2.87285714285714,3.1275,2.7464806547619
1999,3,5.26416129032258,23.0851612903226,14.2989596774194,1.778,TRUE,NA,249.612903225806,26.416,252.863677419355,0.109753086419753,2.96416129032258,2.08516129032258,2.59895967741936
1999,4,6.99066666666667,23.7086666666667,15.8747722222222,3.556,TRUE,NA,253.833333333333,18.5504666666667,245.0626,0.405936073059361,1.69066666666667,-1.69133333333333,0.474772222222223
1999,5,13.7237419354839,30.5516129032258,22.7414798387097,0,TRUE,NA,261.903225806452,18.796,244.834,0,3.72374193548387,0.351612903225806,2.64147983870967
1999,6,16.9118,33.9816666666667,25.7703111111111,3.81,TRUE,NA,272.1,18.796,242.873266666667,0.338065661047028,2.0118,-0.518333333333331,1.07031111111111
1999,7,18.918064516129,31.1561290322581,24.4175940860215,91.694,TRUE,NA,274,18.796,211.770129032258,1.22063365282215,0.718064516129033,-3.04387096774194,-1.78240591397849
1999,8,18.1,31.6148387096774,24.2507795698925,102.108,TRUE,NA,274,18.796,244.376322580645,1.57113402061856,0.700000000000003,-0.785161290322581,-0.649220430107526
1999,9,15.8293333333333,30.98,22.9927361111111,39.624,TRUE,NA,274,18.796,266.632266666667,1.23017696367588,1.52933333333333,0.0800000000000018,0.392736111111109
1999,10,9.94564516129032,27.9209677419355,18.717126344086,0.254,TRUE,NA,272.709677419355,18.796,272.73864516129,0.00801261829652997,1.94564516129032,1.72096774193549,1.61712634408602
1999,11,6.28503333333333,24.105,14.6327138888889,0,TRUE,NA,269.966666666667,18.5589333333333,245.863533333333,0,4.48503333333333,4.005,3.73271388888889
1999,12,0.0548387096774194,14.2720967741935,6.69621102150538,4.318,TRUE,NA,269.032258064516,9.63561290322581,237.809548387097,0.133025261860752,1.75483870967742,-0.827903225806452,-0.00378897849462412
