"period","censusdate","era","oera","plot_type","oplottype","total_e","dipo_e","smgran_e","tinygran_e","pb_e","pp_e","nplots","total_e_ma","dipo_e_ma","smgran_e_ma","pb_e_ma","pp_e_ma","tinygran_e_ma"
325,2005-07-09,"b_pre_reorg","b_pre_reorg","EE","EE",479.659160769359,0,479.659160769359,119.136114816433,360.523045952927,108.373575305977,5,312.203520782312,10.5826118947777,301.620908887534,206.342841693944,80.3072061728758,95.2780671935901
326,2005-08-06,"b_pre_reorg","b_pre_reorg","CC","CC",819.828344034086,319.213685939871,500.614658094215,415.075833746536,85.5388243476794,317.859284715723,4,619.126339114527,366.366669390764,252.759669723762,69.6016489797351,159.329259482706,183.158020744027
326,2005-08-06,"b_pre_reorg","b_pre_reorg","EE","EE",794.861312689195,0,794.861312689195,284.260638160919,510.600674528276,249.614464511599,5,390.817035237086,3.29534126714513,387.52169396994,268.024319492057,98.7521511822823,119.497374477883
327,2005-09-03,"b_pre_reorg","b_pre_reorg","CC","CC",1001.31747099707,343.739457606719,657.578013390355,387.164179060784,270.413834329572,363.353162246218,4,696.832389987646,354.248209922487,342.584180065159,101.173257596896,213.613658404514,241.410922468263
327,2005-09-03,"b_pre_reorg","b_pre_reorg","EE","EE",873.099631651226,0,873.099631651226,239.363354215398,633.736277435828,193.426528395321,5,497.955618059032,3.29534126714513,494.660276791886,338.903617399146,128.171532198195,155.75665939274
328,2005-09-30,"b_pre_reorg","b_pre_reorg","CC","CC",856.167282305075,307.739650686382,548.427631618694,303.957085910631,244.470545708062,270.954268197657,4,757.723077943779,339.637405413682,418.085672530097,130.230624139919,254.5573147076,287.855048390177
328,2005-09-30,"b_pre_reorg","b_pre_reorg","EE","EE",857.311057136484,0,857.311057136484,206.463304478244,650.847752658241,167.9421776704,5,612.315703195367,3.29534126714513,609.020361928222,423.456669140854,156.161895143262,185.563692787369
329,2005-11-05,"b_pre_reorg","b_pre_reorg","CC","CC",832.09992451951,460.477719973819,371.622204545692,133.381154885438,238.241049660253,116.352643062942,4,804.278294768817,364.223435689911,440.054859078906,159.55913283526,244.359907257319,280.495726243646
329,2005-11-05,"b_pre_reorg","b_pre_reorg","EE","EE",706.733920372767,0,706.733920372767,97.8327128200953,608.901207552671,89.158886809096,5,683.092932172102,0,683.092932172102,500.15430479726,154.017865110954,182.938627374842
330,2005-12-09,"b_pre_reorg","b_pre_reorg","CC","CC",501.878112589994,365.586204037171,136.291908552823,10.8422825137491,125.449626039074,10.8422825137491,4,777.325577823741,349.106654951767,428.218922871974,174.180860919042,217.902242966605,254.038061952932
330,2005-12-09,"b_pre_reorg","b_pre_reorg","EE","EE",408.154805424985,0,408.154805424985,57.7480807664398,350.406724658545,8.23641628884564,5,686.636648007336,0,686.636648007336,519.169280464415,136.125341496873,167.467367542921
331,2006-01-07,"b_pre_reorg","b_pre_reorg","CC","CC",632.980189650862,476.649178440297,156.331011210565,22.2222825137491,134.108728696816,22.2222825137491,4,774.045220682767,378.90098278071,395.144237902057,183.037101463576,183.597320541673,212.107136438481
331,2006-01-07,"b_pre_reorg","b_pre_reorg","EE","EE",423.248495722423,0,423.248495722423,36.6915724789844,386.556923243438,36.6915724789844,5,677.234870499513,0,677.234870499513,523.508260012833,124.178341025708,153.72661048668
332,2006-01-28,"b_pre_reorg","b_pre_reorg","CC","CC",525.790619834567,429.985479188681,95.8051406458851,26.8010062177003,69.0041344281848,20.0344177333348,4,725.038933316181,397.362948322178,327.675984994002,180.281319810327,133.959842711275,147.394665183675
332,2006-01-28,"b_pre_reorg","b_pre_reorg","EE","EE",393.068705126035,0,393.068705126035,48.4096916758496,344.659013450186,8.67382601099927,5,610.269435905653,0,610.269435905653,495.851316499818,84.0215679422744,114.418119405835
333,2006-03-04,"b_pre_reorg","b_pre_reorg","CC","CC",469.840345889035,351.182592185039,118.657753703996,41.1288362965612,77.5289174074351,35.6754569018193,4,636.459412464841,398.603470751898,237.855941712942,148.133833656638,79.346891820542,89.7221080563049
333,2006-03-04,"b_pre_reorg","b_pre_reorg","EE","EE",442.377224506168,41.1698792025323,401.207345303635,40.5873799502692,360.619965353366,34.674158493229,5,538.482368048144,6.86164653375539,531.620721514388,450.331931152741,57.562839625259,81.288790361647
334,2006-03-25,"b_pre_reorg","b_pre_reorg","CC","CC",462.361443933412,269.898819448335,192.462624485077,141.577900763712,50.8847237213645,108.636765160554,4,570.825106069563,392.296665545557,178.528440524006,115.869529992188,52.2939746476914,62.6589105318184
334,2006-03-25,"b_pre_reorg","b_pre_reorg","EE","EE",465.341243312459,20.427520523723,444.913722788736,43.5051384213718,401.408584367364,38.0918676338795,5,473.154065744139,10.2662332877092,462.88783245643,408.758736437595,35.921121285839,54.129096018835
335,2006-04-29,"b_pre_reorg","b_pre_reorg","CC","CC",759.009555813595,444.618875497338,314.390680316258,279.777399540554,34.6132807757037,272.385872719254,4,558.643377951911,389.653524799477,168.989853152434,81.9315685114297,78.2995129237433,87.0582846410043
335,2006-04-29,"b_pre_reorg","b_pre_reorg","EE","EE",527.419768475262,21.0760549439405,506.343713531321,115.888844683039,390.454868848283,110.475573895546,5,443.268373761222,13.7789091116993,429.489464649523,372.351013320197,39.473902466914,57.1384513293256
336,2006-05-27,"b_pre_reorg","b_pre_reorg","CC","CC",672.928666496321,334.047164111511,338.88150238481,308.673800708016,30.2077016767945,302.552047675004,4,587.151803602965,384.3970181452,202.754785457765,66.0579144510498,126.917807117286,136.696871006715
336,2006-05-27,"b_pre_reorg","b_pre_reorg","EE","EE",608.493018310827,20.1006747282438,588.392343582583,176.836431952727,411.555911629856,176.836431952727,5,476.658075908862,17.1290215664066,459.529054342456,382.542544482082,67.5739050775609,76.9865098603734
338,2006-07-22,"b_pre_reorg","b_pre_reorg","CC","CC",787.269125228418,322.899248184887,464.369877043531,399.481058593653,64.888818449878,393.35930556064,4,612.866626199225,358.772029769298,254.094596429926,54.5212627432268,188.773977625101,199.573333686699
338,2006-07-22,"b_pre_reorg","b_pre_reorg","EE","EE",868.353793059485,0,868.353793059485,301.635309143981,566.718483915504,301.635309143981,5,550.842292131706,17.1290215664066,533.713270565299,412.56947126076,111.731194521727,121.14379930454
340,2006-09-23,"b_pre_reorg","b_pre_reorg","CC","CC",253.487039854541,81.9552569057513,171.531782948789,171.531782948789,0,171.531782948789,4,567.482696202554,300.766992722143,266.71570348041,43.0205736718627,214.023538494343,223.695129808548
340,2006-09-23,"b_pre_reorg","b_pre_reorg","EE","EE",399.280302945488,0,399.280302945488,144.382177226097,254.898125719391,144.382177226097,5,551.877558434948,17.1290215664066,534.748536868541,397.609323305627,134.349253057577,137.139213562914
341,2006-10-21,"b_pre_reorg","b_pre_reorg","CC","CC",692.280486624785,238.983617683283,453.296868941502,391.470334438292,61.8265345032094,391.470334438292,4,604.556052991845,282.067163638518,322.488889353328,40.4035098544917,273.322684750422,282.085379498836
341,2006-10-21,"b_pre_reorg","b_pre_reorg","EE","EE",755.137188725146,0,755.137188725146,255.078925151022,500.058263574124,255.078925151022,5,604.004219138111,10.2673750326512,593.73684410546,420.849039675753,171.083380833876,172.887804429706
342,2006-11-18,"b_pre_reorg","b_pre_reorg","CC","CC",971.824272743014,207.828888656214,763.9953840868,567.619136900738,196.376247186062,558.447682532624,4,689.466524460112,271.722175173164,417.744349286948,64.652097098608,348.291170979101,353.09225218834
342,2006-11-18,"b_pre_reorg","b_pre_reorg","EE","EE",952.715048498789,0,952.715048498789,330.304474365995,622.410574132794,304.332126727674,5,685.233186669166,6.86278827869739,678.370398390469,457.682704636658,215.456757349508,220.68769375381
343,2006-12-16,"b_pre_reorg","b_pre_reorg","CC","CC",1096.92163771458,388.806859370498,708.114778344085,454.183242060284,253.931536283801,425.305581470593,4,745.785204776944,262.420172485357,483.365032291586,101.205139683291,373.777789104324,382.159892608295
343,2006-12-16,"b_pre_reorg","b_pre_reorg","EE","EE",968.489040703848,0,968.489040703848,276.568871235349,691.920169468499,237.318525291726,5,758.744732040597,3.3501124547073,755.39461958589,507.926921406694,236.597249248871,247.467698179195
345,2007-02-17,"b_pre_reorg","b_pre_reorg","CC","CC",1023.20310682535,431.679597416814,591.523509408532,258.12084595566,333.402663452872,233.742732827083,4,804.164278165114,278.692244702908,525.472033462206,151.737633312637,362.309569963004,373.734400149569
345,2007-02-17,"b_pre_reorg","b_pre_reorg","EE","EE",641.554819523874,20.7526322465163,620.802187277357,122.028404129202,498.773783148156,74.494519464955,5,764.255032242772,3.45877204108605,760.796260201686,522.463233326411,219.540263834243,238.333026875275
346,2007-03-17,"b_pre_reorg","b_pre_reorg","CC","CC",1222.09915396022,479.489939231025,742.609214729192,507.957136016604,234.652078712587,480.662181935166,4,876.635949620414,304.790693210598,571.845256409817,180.031510023089,376.860049358758,391.813746386728
346,2007-03-17,"b_pre_reorg","b_pre_reorg","EE","EE",908.765328712866,22.3536869322944,886.411641780571,391.266398510439,495.145243270133,252.220941706688,5,770.990288185002,7.18438652980179,763.8059016552,510.534359885516,211.304535928027,253.271541769684
347,2007-04-14,"b_pre_reorg","b_pre_reorg","CC","CC",1107.78929692568,381.211790804948,726.577506120733,438.604944976854,287.972561143878,364.846779996953,4,1019.01965913227,354.666782193797,664.352876938474,228.026936880402,409.079215533452,436.325940058072
347,2007-04-14,"b_pre_reorg","b_pre_reorg","EE","EE",949.816149116176,0,949.816149116176,294.030786916365,655.785362199812,193.571623459166,5,862.746262546783,7.18438652980179,855.561876016981,577.348899298919,219.502776966872,278.212976718062
348,2007-05-19,"b_pre_reorg","b_pre_reorg","CC","CC",1403.44814445136,425.644015786647,977.804128664717,500.273005369798,477.531123294919,436.12904783023,4,1137.54760210337,385.776848544358,751.77075355901,297.311035012353,416.522334432108,454.459718546657
348,2007-05-19,"b_pre_reorg","b_pre_reorg","EE","EE",1231.38079228311,16.7251159637235,1214.65567631938,134.339094228778,1080.31658209061,111.232562789221,5,942.12019647311,9.97190585708904,932.148290616021,674.058619051666,195.528383239905,258.089671564355
349,2007-06-16,"b_pre_reorg","b_pre_reorg","CC","CC",1780.28303937754,774.952334281496,1005.33070509604,468.575247132924,536.755457963115,452.576636431259,4,1272.29072987579,480.297422815238,791.99330706055,354.040903475195,398.877160081881,437.952403585354
349,2007-06-16,"b_pre_reorg","b_pre_reorg","EE","EE",1431.33485278797,21.0888023830151,1410.24605040495,196.596022473408,1213.65002793154,177.615107425676,5,1021.89016385464,13.4867062542582,1008.40345760038,772.598528018125,174.408880022905,235.804929582257
350,2007-07-14,"b_pre_reorg","b_pre_reorg","CC","CC",1786.67849078997,556.20652162681,1230.47196916316,572.285789978754,658.186179184401,566.164036945742,4,1387.25020538835,508.197366524623,879.052838863728,421.416677291962,422.353569327739,457.636161571766
350,2007-07-14,"b_pre_reorg","b_pre_reorg","EE","EE",1664.77980086202,0,1664.77980086202,262.433212976288,1402.34658788574,189.723365595282,5,1137.938623881,13.4867062542582,1124.45191762674,891.002931087664,166.476353406831,233.44898653908
352,2007-09-08,"b_pre_reorg","b_pre_reorg","CC","CC",1437.51253455982,617.131094593503,820.381439966314,411.012274938765,409.369165027549,393.315389477998,4,1456.30177667743,539.105949387405,917.195827290025,434.077760887742,448.949012102892,483.118066402283
352,2007-09-08,"b_pre_reorg","b_pre_reorg","EE","EE",1358.35964757362,0,1358.35964757362,284.497549784306,1073.86209778931,218.330070406055,5,1257.40609522263,10.0279342131722,1247.37816100945,986.850983527857,190.448945230348,260.527177481597
353,2007-10-13,"b_pre_reorg","b_pre_reorg","CC","CC",1276.73712470627,754.355435578374,522.381689127894,220.287241493188,302.094447634706,143.845982064879,4,1465.40810513511,584.916865445296,880.491239689809,445.318155708095,392.812978791177,435.173083981714
353,2007-10-13,"b_pre_reorg","b_pre_reorg","EE","EE",1054.74321421327,20.427520523723,1034.31569368955,231.139817135651,803.175876553898,102.172011168953,5,1281.73574280603,9.70690647841027,1272.02883632762,1038.18942240848,165.440790140725,233.839413919133
354,2007-11-10,"b_pre_reorg","b_pre_reorg","CC","CC",1277.07668544104,784.440143170296,492.63654227074,261.274777895489,231.361764375251,121.979734368526,4,1493.62266988766,652.121590839521,841.501079048143,435.883022913323,352.335137853106,405.61805613482
354,2007-11-10,"b_pre_reorg","b_pre_reorg","EE","EE",1080.06240783059,34.4758137478858,1045.58659408271,343.110906996687,702.475687086022,54.5367153676617,5,1303.44345259176,15.4528754363912,1287.99057715537,1045.97114322285,142.268305458808,242.01943393252
355,2007-12-15,"b_pre_reorg","b_pre_reorg","CC","CC",1034.53267022709,837.63269393656,196.89997629053,69.9370804689258,126.962895821604,0,4,1432.13675751695,720.786370531173,711.350386985779,377.454985001104,279.646963214734,333.895401984674
355,2007-12-15,"b_pre_reorg","b_pre_reorg","EE","EE",734.61623239719,18.1003617867381,716.515870610452,255.034050168432,461.48182044202,17.7778260109993,5,1220.64935927744,15.6820830735603,1204.96727620388,942.832016281421,126.692515995771,262.135259922462
356,2008-01-12,"b_pre_reorg","b_pre_reorg","CC","CC",815.297357378754,702.648526369931,112.648831008823,23.9979160524981,88.6509149563246,0,4,1271.30581051716,708.735735879246,562.570074637909,302.770894499973,204.217523809524,259.799180137937
356,2008-01-12,"b_pre_reorg","b_pre_reorg","EE","EE",565.589429564477,76.6434311817951,488.945998382682,154.165900923539,334.780097459143,0,5,1076.35845540686,24.941187873357,1051.41726753351,796.353694536021,97.0899980914919,255.063572997484
