"date","ndvi"
1992-05-01,0.200472810943726
1992-06-01,0.199622301134082
1992-07-01,0.196479978862469
1992-08-01,0.134523789529263
1992-09-01,0.152263688919032
1992-10-01,0.172442239641214
1992-11-01,0.149468573293534
1992-12-01,0.105866053827149
1993-01-01,0.137561725956147
1993-02-01,0.158124324926997
1993-03-01,0.166397516702821
1993-04-01,0.183285616304297
1993-05-01,0.158135752353012
1993-06-01,0.149934482387176
1993-07-01,0.136859117472725
1993-08-01,0.140937959774071
1993-09-01,0.166942524900085
1993-10-01,0.152150773695382
1993-11-01,0.130950915790657
1993-12-01,0.116403384193027
1994-01-01,0.10830843947356
1994-02-01,0.110483703145185
1994-03-01,0.115720705243986
1994-04-01,0.102546579773496
1994-05-01,0.115987711353976
1994-06-01,0.113581497741477
1994-07-01,0.111972212643861
1994-08-01,0.115736301084884
1994-09-01,0.131487942504234
1994-10-01,0.122554974732168
1994-11-01,0.0960761433348774
1994-12-01,0.120957497303255
1995-01-01,0.132041776411429
1995-02-01,0.226775330179968
1995-03-01,0.324637385053066
1995-04-01,0.265294823075864
1995-05-01,0.192513852463088
1995-06-01,0.18053918201708
1995-07-01,0.186808762916478
1995-08-01,0.177879716534494
1995-09-01,0.203913327287755
1995-10-01,0.239257425533497
1995-11-01,0.203173157443835
1995-12-01,0.178394653208049
1996-01-01,0.151762826562724
1996-02-01,0.145065723016525
1996-03-01,0.111288515853354
1996-04-01,0.124182381944877
1996-05-01,0.118793469764251
1996-06-01,0.132741958393342
1996-07-01,0.211906498661239
1996-08-01,0.186964908364158
1996-09-01,0.195340372055619
1996-10-01,0.176698640190404
1996-11-01,0.14442962969942
1996-12-01,0.154176933986466
1997-01-01,0.123951896023315
1997-02-01,0.132428066521062
1997-03-01,0.178686172748585
1997-04-01,0.153975307671954
1997-05-01,0.148272186247155
1997-06-01,0.147970378099939
1997-07-01,0.136668318150764
1997-08-01,0.192706361619326
1997-09-01,0.168888153556594
1997-10-01,0.151944762267122
1997-11-01,0.119488483294782
1997-12-01,0.116409805270173
1998-01-01,0.112263413201559
1998-02-01,0.175434044893684
1998-03-01,0.1529635818391
1998-04-01,0.181962142544205
1998-05-01,0.146106228895238
1998-06-01,0.140428342890135
1998-07-01,0.174192811201329
1998-08-01,0.177626925550719
1998-09-01,0.167366843024439
1998-10-01,0.136791441431322
1998-11-01,0.14939891324863
1998-12-01,0.209064089662929
1999-01-01,0.169802233562131
1999-02-01,0.130315158494256
1999-03-01,0.112053170023388
1999-04-01,0.108564752794074
1999-05-01,0.0990829371340823
1999-06-01,0.112317955855
1999-07-01,0.129627185542657
1999-08-01,0.282662444907936
1999-09-01,0.227288184807249
1999-10-01,0.192290165604745
1999-11-01,0.150278008167289
1999-12-01,0.126726911517064
2000-01-01,0.123329390421801
2000-02-01,0.12328397352174
2000-03-01,0.109842981409985
2000-04-01,0.107135444602903
2000-05-01,0.102429293594045
2000-06-01,0.108407533989948
2000-07-01,0.146794698758837
2000-08-01,0.134911767931201
2000-09-01,0.128144102157977
2000-10-01,0.123310181217369
2000-11-01,0.162343532182127
2000-12-01,0.232710880297738
2001-01-01,0.19563480625003
2001-02-01,0.318827654122525
2001-03-01,0.285754288207036
2001-04-01,0.206162104851669
2001-05-01,0.167788067824412
2001-06-01,0.151139729414925
2001-07-01,0.159942252431431
2001-08-01,0.200389019434087
2001-09-01,0.199049327876066
2001-10-01,0.156004590033189
2001-11-01,0.131845437841053
2001-12-01,0.131917205209967
2002-01-01,0.126309161493655
