"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","heske_trtmnt","granivore","omnivore","small_granivore","grasshopper","dipo","type","energy"
64,61,1982-08-15,8,15,1982,"control",12,47,"DM","M",35,47,"2992","0","control",1,0,FALSE,FALSE,TRUE,"dipo",102.137602618615
64,61,1982-08-15,8,15,1982,"exclosure",21,47,"PP","M",21,14,"5002","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",41.1820814442282
64,61,1982-08-15,8,15,1982,"control",6,51,"OT","F",20,26,"3101","0","exclosure_1988",0,1,FALSE,TRUE,FALSE,"grasshopper",65.5152311109777
64,61,1982-08-15,8,15,1982,"exclosure",21,51,"PF","F",15,7,"8612","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",24.4870121320489
64,61,1982-08-15,8,15,1982,"control",20,52,"NA","F",31,116,"3678","0","exclosure_1988",0,1,FALSE,FALSE,FALSE,"other",201.120230609569
64,61,1982-08-15,8,15,1982,"control",6,54,"DS","F",47,125,"3633","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",212.713364128719
64,61,1982-08-15,8,15,1982,"exclosure",21,54,"OT","F",20,26,"3612","0","exclosure_1977",0,1,FALSE,TRUE,FALSE,"grasshopper",65.5152311109777
64,61,1982-08-15,8,15,1982,"control",20,54,"NA","M",32,146,"3238","0","exclosure_1988",0,1,FALSE,FALSE,FALSE,"other",238.988447613837
64,61,1982-08-15,8,15,1982,"control",11,55,"DM","M",35,46,"2732","0","control",1,0,FALSE,FALSE,TRUE,"dipo",100.503373641219
64,61,1982-08-15,8,15,1982,"control",18,55,"PM","M",20,18,"3546","0","exclosure_1988",1,0,TRUE,FALSE,FALSE,"small_granivore",49.7240672582641
64,61,1982-08-15,8,15,1982,"exclosure",19,55,"PF","M",16,6,"8603","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",21.8135175789677
64,61,1982-08-15,8,15,1982,"control",20,56,"DM","M",35,37,"3617","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",85.3617990345562
64,61,1982-08-15,8,15,1982,"control",20,61,"OT","F",21,21,"3677","0","exclosure_1988",0,1,FALSE,TRUE,FALSE,"grasshopper",55.8183169587426
64,61,1982-08-15,8,15,1982,"control",6,62,"DS","M",54,110,"3344","4956","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",193.266588328572
64,61,1982-08-15,8,15,1982,"control",12,62,"DM","F",34,27,"3658","0","control",1,0,FALSE,FALSE,TRUE,"dipo",67.3961502032971
64,61,1982-08-15,8,15,1982,"exclosure",21,62,"PF","M",15,7,"8611","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",24.4870121320489
64,61,1982-08-15,8,15,1982,"control",6,65,"DM","M",37,51,"3185","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",108.590016337657
64,61,1982-08-15,8,15,1982,"control",12,66,"DM","F",33,42,"4988","0","control",1,0,FALSE,FALSE,TRUE,"dipo",93.8748452722046
64,61,1982-08-15,8,15,1982,"control",6,67,"DM","F",36,40,"4953","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",90.5018089336904
64,61,1982-08-15,8,15,1982,"control",11,67,"DM","M",34,47,"2473","0","control",1,0,FALSE,FALSE,TRUE,"dipo",102.137602618615
64,61,1982-08-15,8,15,1982,"control",11,72,"DM","M",37,48,"3403","0","control",1,0,FALSE,FALSE,TRUE,"dipo",103.763161232581
64,61,1982-08-15,8,15,1982,"control",11,74,"DS","M",49,94,"3595","0","control",1,0,FALSE,FALSE,TRUE,"dipo",171.774287809203
64,61,1982-08-15,8,15,1982,"exclosure",19,74,"PM","F",21,27,"3673","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",67.3961502032971
64,61,1982-08-15,8,15,1982,"control",20,75,"DS","M",NA,125,"3320","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",212.713364128719
64,61,1982-08-15,8,15,1982,"control",12,76,"DS","M",54,112,"3268","0","control",1,0,FALSE,FALSE,TRUE,"dipo",195.896097056391
64,61,1982-08-15,8,15,1982,"control",20,76,"OT","M",20,30,"3092","3680","exclosure_1988",0,1,FALSE,TRUE,FALSE,"grasshopper",72.9378919918372
64,61,1982-08-15,8,15,1982,"control",12,77,"DM","M",36,37,"3656","0","control",1,0,FALSE,FALSE,TRUE,"dipo",85.3617990345562
64,61,1982-08-15,8,15,1982,"control",20,77,"NA","F",31,172,"3679","0","exclosure_1988",0,1,FALSE,FALSE,FALSE,"other",270.245581240266
64,61,1982-08-15,8,16,1982,"control",14,11,"DM","F",34,44,"4985","0","control",1,0,FALSE,FALSE,TRUE,"dipo",97.2079476020466
64,61,1982-08-15,8,16,1982,"control",8,12,"DO","F",38,49,"3381","0","control",1,0,FALSE,FALSE,TRUE,"dipo",105.380274719703
64,61,1982-08-15,8,16,1982,"exclosure",15,12,"PF","F",15,7,"3990","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",24.4870121320489
64,61,1982-08-15,8,16,1982,"exclosure",3,14,"PE","F",19,16,"3628","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",45.52
64,61,1982-08-15,8,16,1982,"exclosure",3,15,"PP","M",21,12,"5003","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",36.6858174724557
