"period","censusdate","era","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","nplots"
249,1998-11-21,"b_pre_cpt","CC",550.92232238041,550.92232238041,0,0,0,4
249,1998-11-21,"b_pre_cpt","CE",589.440543177708,520.186336854212,69.2542063234958,69.2542063234958,0,3
249,1998-11-21,"b_pre_cpt","EE",339.870454621577,0,339.870454621577,339.870454621577,0,3
250,1998-12-22,"b_pre_cpt","CC",587.084101874095,587.084101874095,0,0,0,4
250,1998-12-22,"b_pre_cpt","CE",426.720804317956,379.93198139556,46.7888229223967,46.7888229223967,0,3
250,1998-12-22,"b_pre_cpt","EE",253.698977352586,0,253.698977352586,253.698977352586,0,3
251,1999-01-16,"b_pre_cpt","CC",603.62143684242,603.62143684242,0,0,0,4
251,1999-01-16,"b_pre_cpt","CE",602.374275591772,511.660988414002,90.7132871777707,74.1385980916826,0,3
251,1999-01-16,"b_pre_cpt","EE",306.560505920182,0,306.560505920182,258.416996451735,0,3
253,1999-03-14,"b_pre_cpt","CC",590.812513613354,590.812513613354,0,0,0,4
253,1999-03-14,"b_pre_cpt","CE",503.12228876345,346.346922429775,156.775366333676,107.733378915429,0,3
253,1999-03-14,"b_pre_cpt","EE",299.541732129698,0,299.541732129698,257.188425203079,0,3
254,1999-04-17,"b_pre_cpt","CC",668.012803758612,645.261146364189,22.7516573944222,0,22.7516573944222,4
254,1999-04-17,"b_pre_cpt","CE",698.851308783725,606.155328708153,92.6959800755717,73.4292495883775,19.2667304871943,3
254,1999-04-17,"b_pre_cpt","EE",487.370834277591,27.8751932728726,459.495641004718,415.860832923404,15.1733333333333,3
255,1999-05-15,"b_pre_cpt","CC",418.731558555508,379.466183016843,39.2653755386655,11.38,12.9454596616762,4
255,1999-05-15,"b_pre_cpt","CE",744.983013130189,541.727250065953,203.255763064236,134.991444622789,49.6582127885327,3
255,1999-05-15,"b_pre_cpt","EE",458.387367829451,0,458.387367829451,275.344388879908,154.439672631005,3
256,1999-06-12,"b_pre_cpt","CC",353.876176337135,306.00090421684,47.8752721202951,14.4500478653957,33.4252242548994,4
