"period","brown_trtmnt","type","year","month","nind","biomass","energy"
35,"dipo_absent","small_granivore",1980,6,1,11,34.3681994673169
1,"dipo_present","small_granivore",1977,7,2,35.23702584,97.8631518855269
2,"dipo_present","small_granivore",1977,8,4,47.518262293,143.599288475437
3,"dipo_present","small_granivore",1977,9,1,16,45.52
4,"dipo_present","small_granivore",1977,10,1,8,27.0663539374619
5,"dipo_present","small_granivore",1977,11,2,13,46.3005297110166
6,"dipo_present","small_granivore",1977,12,1,6,21.8135175789677
7,"dipo_present","small_granivore",1978,1,0,0,0
8,"dipo_present","small_granivore",1978,2,0,0,0
9,"dipo_present","small_granivore",1978,3,0,0,0
10,"dipo_present","small_granivore",1978,4,0,0,0
11,"dipo_present","small_granivore",1978,5,2,22,67.8561421870452
12,"dipo_present","small_granivore",1978,6,2,23,70.4354839924583
13,"dipo_present","small_granivore",1978,7,2,26,77.5172214033309
14,"dipo_present","small_granivore",1978,8,1,18,49.7240672582641
15,"dipo_present","small_granivore",1978,9,4,54,158.985863517506
16,"dipo_present","small_granivore",1978,10,2,21,65.1826476339641
17,"dipo_present","small_granivore",1978,11,0,0,0
18,"dipo_present","small_granivore",1978,12,0,0,0
19,"dipo_present","small_granivore",1979,1,0,0,0
20,"dipo_present","small_granivore",1979,2,0,0,0
21,"dipo_present","small_granivore",1979,3,0,0,0
22,"dipo_present","small_granivore",1979,4,0,0,0
23,"dipo_present","small_granivore",1979,5,0,0,0
24,"dipo_present","small_granivore",1979,7,0,0,0
25,"dipo_present","small_granivore",1979,7,1,16,45.52
26,"dipo_present","small_granivore",1979,8,0,0,0
27,"dipo_present","small_granivore",1979,9,1,14,41.1820814442282
28,"dipo_present","small_granivore",1979,10,1,16,45.52
29,"dipo_present","small_granivore",1979,11,3,34,104.652214570401
30,"dipo_present","small_granivore",1980,1,2,18,59.0635753407928
31,"dipo_present","small_granivore",1980,2,2,23,70.0070121320489
32,"dipo_present","small_granivore",1980,3,3,32.899749373,101.897677630829
33,"dipo_present","small_granivore",1980,4,1,8,27.0663539374619
34,"dipo_present","small_granivore",1980,5,1,8,27.0663539374619
35,"dipo_present","small_granivore",1980,6,1,7,24.4870121320489
1,"dipo_absent","small_omnivore",1977,7,1,21.98281643,57.7663285988927
2,"dipo_absent","small_omnivore",1977,8,0,0,0
3,"dipo_absent","small_omnivore",1977,9,0,0,0
4,"dipo_absent","small_omnivore",1977,10,0,0,0
5,"dipo_absent","small_omnivore",1977,11,3,93.38015931,224.948726045164
6,"dipo_absent","small_omnivore",1977,12,4,96.22398308,247.223506391449
7,"dipo_absent","small_omnivore",1978,1,3,79.23871131,198.594661877446
8,"dipo_absent","small_omnivore",1978,2,4,94.05599577,243.023148420257
9,"dipo_absent","small_omnivore",1978,3,4,96.11199154,246.927175768285
10,"dipo_absent","small_omnivore",1978,4,1,23,59.7596635079572
11,"dipo_absent","small_omnivore",1978,5,1,29,71.1067394489141
12,"dipo_absent","small_omnivore",1978,6,2,41,107.79255692137
13,"dipo_absent","small_omnivore",1978,7,0,0,0
14,"dipo_absent","small_omnivore",1978,8,3,51,142.280353671441
15,"dipo_absent","small_omnivore",1978,9,4,92,237.309413817165
16,"dipo_absent","small_omnivore",1978,10,2,48,122.661959250101
17,"dipo_absent","small_omnivore",1978,11,1,21,55.8183169587426
18,"dipo_absent","small_omnivore",1978,12,2,51,129.019392826233
19,"dipo_absent","small_omnivore",1979,1,1,27,67.3961502032971
20,"dipo_absent","small_omnivore",1979,2,2,56,138.453123102815
21,"dipo_absent","small_omnivore",1979,3,0,0,0
22,"dipo_absent","small_omnivore",1979,4,1,23,59.7596635079572
23,"dipo_absent","small_omnivore",1979,5,2,39,105.067074861477
24,"dipo_absent","small_omnivore",1979,7,3,66,172.938534420304
25,"dipo_absent","small_omnivore",1979,7,3,90,218.329049793654
26,"dipo_absent","small_omnivore",1979,8,2,45,116.897228840968
27,"dipo_absent","small_omnivore",1979,9,3,104,242.317723608264
28,"dipo_absent","small_omnivore",1979,10,5,133,331.140616960023
29,"dipo_absent","small_omnivore",1979,11,5,105,278.772269708241
30,"dipo_absent","small_omnivore",1980,1,5,118,302.681779223218
31,"dipo_absent","small_omnivore",1980,2,4,98,250.464913140567
32,"dipo_absent","small_omnivore",1980,3,3,84,207.098762171158
33,"dipo_absent","small_omnivore",1980,4,1,36,83.6255798186177
34,"dipo_absent","small_omnivore",1980,5,1,39,88.7995411482622
35,"dipo_absent","small_omnivore",1980,6,2,44,115.239298369242
1,"dipo_present","small_omnivore",1977,7,0,0,0
2,"dipo_present","small_omnivore",1977,8,0,0,0
3,"dipo_present","small_omnivore",1977,9,0,0,0
4,"dipo_present","small_omnivore",1977,10,0,0,0
5,"dipo_present","small_omnivore",1977,11,0,0,0
6,"dipo_present","small_omnivore",1977,12,1,24.05599577,61.8058765978623
7,"dipo_present","small_omnivore",1978,1,3,79.23871131,198.594661877446
8,"dipo_present","small_omnivore",1978,2,0,0,0
9,"dipo_present","small_omnivore",1978,3,2,64,152.983999254653
10,"dipo_present","small_omnivore",1978,4,0,0,0
11,"dipo_present","small_omnivore",1978,5,0,0,0
12,"dipo_present","small_omnivore",1978,6,0,0,0
