"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","small_granivore","dipo","type","energy"
3,3,1977-09-11,9,11,1977,"new_exclosure",22,12,"DM","M",36,48,"0","0",FALSE,TRUE,"dipo",103.763161232581
3,3,1977-09-11,9,11,1977,"orig_exclosure",21,16,"DM","M",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
3,3,1977-09-11,9,11,1977,"new_exclosure",22,22,"DM","F",36,36,"0","0",FALSE,TRUE,"dipo",83.6255798186177
3,3,1977-09-11,9,11,1977,"orig_exclosure",19,24,"DS","F",50,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,11,1977,"new_exclosure",22,42,"PF","F",NA,8,"0","0",TRUE,FALSE,"small_granivore",27.0663539374619
3,3,1977-09-11,9,11,1977,"orig_exclosure",19,55,"DM","M",33,40,"0","0",FALSE,TRUE,"dipo",90.5018089336904
3,3,1977-09-11,9,11,1977,"orig_exclosure",21,74,"DS","M",49,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,11,1977,"orig_exclosure",19,77,"DM","F",34,35,"0","0",FALSE,TRUE,"dipo",81.8772598057385
3,3,1977-09-11,9,12,1977,"control",17,13,"DM","M",36,46,"0","0",FALSE,TRUE,"dipo",100.503373641219
3,3,1977-09-11,9,12,1977,"control",14,22,"DS","F",48,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,12,1977,"control",17,25,"DM","F",33,37,"0","0",FALSE,TRUE,"dipo",85.3617990345562
3,3,1977-09-11,9,12,1977,"control",17,32,"DS","M",47,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,12,1977,"control",4,33,"DM","F",36,45,"0","0",FALSE,TRUE,"dipo",98.8602380143538
3,3,1977-09-11,9,12,1977,"control",11,36,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
3,3,1977-09-11,9,12,1977,"control",4,37,"DS","M",50,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,12,1977,"control",14,47,"DM","M",37,51,"0","0",FALSE,TRUE,"dipo",108.590016337657
3,3,1977-09-11,9,12,1977,"control",4,52,"DM","M",35,39,"0","0",FALSE,TRUE,"dipo",88.7995411482622
3,3,1977-09-11,9,12,1977,"control",11,53,"DM","M",36,29,"0","0",FALSE,TRUE,"dipo",71.1067394489141
3,3,1977-09-11,9,12,1977,"control",17,55,"DS","F",52,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,12,1977,"control",17,56,"DM","F",32,48,"0","0",FALSE,TRUE,"dipo",103.763161232581
3,3,1977-09-11,9,12,1977,"control",11,57,"DM","M",38,46,"0","0",FALSE,TRUE,"dipo",100.503373641219
3,3,1977-09-11,9,12,1977,"control",14,72,"DM","M",37,45,"0","0",FALSE,TRUE,"dipo",98.8602380143538
3,3,1977-09-11,9,12,1977,"control",17,72,"DM","F",35,42,"0","0",FALSE,TRUE,"dipo",93.8748452722046
3,3,1977-09-11,9,12,1977,"control",11,73,"DM","F",36,53,"0","0",FALSE,TRUE,"dipo",111.768434661472
3,3,1977-09-11,9,12,1977,"control",4,74,"DS","F",48,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,12,1977,"control",14,75,"DM","F",35,49,"0","0",FALSE,TRUE,"dipo",105.380274719703
3,3,1977-09-11,9,12,1977,"control",17,75,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
3,3,1977-09-11,9,12,1977,"control",14,76,"DM","F",36,46,"0","0",FALSE,TRUE,"dipo",100.503373641219
3,3,1977-09-11,9,12,1977,"control",4,77,"PF","F",13,9,"0","0",TRUE,FALSE,"small_granivore",29.5661072852007
3,3,1977-09-11,9,13,1977,"orig_exclosure",3,11,"PP","F",19,15,"0","0",TRUE,FALSE,"small_granivore",43.3691300549964
3,3,1977-09-11,9,13,1977,"new_exclosure",2,14,"DS","M",52,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,13,1977,"orig_exclosure",3,14,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"new_exclosure",8,25,"DS","F",50,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,13,1977,"new_exclosure",2,26,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
3,3,1977-09-11,9,13,1977,"orig_exclosure",15,26,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"new_exclosure",2,27,"DM","M",37,51,"0","0",FALSE,TRUE,"dipo",108.590016337657
3,3,1977-09-11,9,13,1977,"orig_exclosure",15,32,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"orig_exclosure",15,43,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"orig_exclosure",15,44,"DS",NA,NA,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
3,3,1977-09-11,9,13,1977,"new_exclosure",2,51,"DM","M",25,44,"0","0",FALSE,TRUE,"dipo",97.2079476020466
3,3,1977-09-11,9,13,1977,"new_exclosure",2,64,"PE","M",20,19,"0","0",TRUE,FALSE,"small_granivore",51.7818386467049
3,3,1977-09-11,9,13,1977,"orig_exclosure",3,72,"DS",NA,NA,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,16,1977,"new_exclosure",22,12,"DM","F",36,42,"0","0",FALSE,TRUE,"dipo",93.8748452722046
4,4,1977-10-16,10,16,1977,"new_exclosure",2,13,"DM","M",37,39,"0","0",FALSE,TRUE,"dipo",88.7995411482622
4,4,1977-10-16,10,16,1977,"new_exclosure",2,14,"DS","M",54,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,16,1977,"new_exclosure",22,14,"OT","M",NA,21,"0","0",FALSE,FALSE,"other",55.8183169587426
4,4,1977-10-16,10,16,1977,"new_exclosure",2,16,"DM","M",36,49,"0","0",FALSE,TRUE,"dipo",105.380274719703
4,4,1977-10-16,10,16,1977,"new_exclosure",2,27,"DM","M",37,47,"0","0",FALSE,TRUE,"dipo",102.137602618615
4,4,1977-10-16,10,16,1977,"new_exclosure",2,31,"DM","M",36,41,"0","0",FALSE,TRUE,"dipo",92.1934694843704
4,4,1977-10-16,10,16,1977,"new_exclosure",22,31,"DM","F",36,36,"0","0",FALSE,TRUE,"dipo",83.6255798186177
4,4,1977-10-16,10,16,1977,"new_exclosure",2,45,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
4,4,1977-10-16,10,16,1977,"new_exclosure",22,46,"DS","F",46,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,16,1977,"new_exclosure",2,47,"DM","F",36,55,"0","0",FALSE,TRUE,"dipo",114.91700096632
4,4,1977-10-16,10,16,1977,"new_exclosure",2,62,"OL","F",20,21,"0","0",FALSE,FALSE,"other",55.8183169587426
4,4,1977-10-16,10,16,1977,"new_exclosure",2,66,"PE","F",19,21.98281643,"0","0",TRUE,FALSE,"small_granivore",57.7663285988927
4,4,1977-10-16,10,16,1977,"new_exclosure",22,72,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
4,4,1977-10-16,10,17,1977,"control",17,11,"DM","M",38,41,"0","0",FALSE,TRUE,"dipo",92.1934694843704
4,4,1977-10-16,10,17,1977,"control",17,14,"DM","M",37,48,"0","0",FALSE,TRUE,"dipo",103.763161232581
4,4,1977-10-16,10,17,1977,"control",14,15,"DM","M",38,47,"0","0",FALSE,TRUE,"dipo",102.137602618615
4,4,1977-10-16,10,17,1977,"control",17,15,"DM","F",33,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
