"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","brown_trtmnt","granivore","omnivore","small_granivore","small_omnivore","dipo","offset_year","type","energy"
2,2,1977-08-19,8,21,1977,"control",14,72,"DM","M",37,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",21,75,"DM","M",35,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,76,"DM","M",38,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",21,77,"DM","M",35,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
3,3,1977-09-11,9,11,1977,"control",21,16,"DM","M",37,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
3,3,1977-09-11,9,11,1977,"control",12,22,"PP","F",21,16,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",45.52
3,3,1977-09-11,9,11,1977,"control",19,24,"DS","F",50,119.9275604,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
3,3,1977-09-11,9,11,1977,"control",12,36,"DM","M",36,44,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",97.2079476020466
3,3,1977-09-11,9,11,1977,"control",12,42,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
3,3,1977-09-11,9,11,1977,"control",12,43,"DM","F",36,40,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
3,3,1977-09-11,9,11,1977,"control",12,54,"DM","M",37,34,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",80.1164051605652
3,3,1977-09-11,9,11,1977,"control",19,55,"DM","M",33,40,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
3,3,1977-09-11,9,11,1977,"control",12,62,"DS","M",45,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
3,3,1977-09-11,9,11,1977,"control",12,72,"DM","M",37,44,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",97.2079476020466
3,3,1977-09-11,9,11,1977,"control",21,74,"DS","M",49,119.9275604,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
3,3,1977-09-11,9,11,1977,"control",19,77,"DM","F",34,35,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",81.8772598057385
3,3,1977-09-11,9,12,1977,"control",14,22,"DS","F",48,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
3,3,1977-09-11,9,12,1977,"control",11,36,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
3,3,1977-09-11,9,12,1977,"control",14,47,"DM","M",37,51,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",108.590016337657
3,3,1977-09-11,9,12,1977,"control",11,53,"DM","M",36,29,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",71.1067394489141
3,3,1977-09-11,9,12,1977,"control",11,57,"DM","M",38,46,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",100.503373641219
3,3,1977-09-11,9,12,1977,"control",14,72,"DM","M",37,45,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",98.8602380143538
3,3,1977-09-11,9,12,1977,"control",11,73,"DM","F",36,53,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",111.768434661472
3,3,1977-09-11,9,12,1977,"control",14,75,"DM","F",35,49,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",105.380274719703
3,3,1977-09-11,9,12,1977,"control",14,76,"DM","F",36,46,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",100.503373641219
3,3,1977-09-11,9,13,1977,"control",3,11,"PP","F",19,15,"0","0","dipo_absent",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",43.3691300549964
3,3,1977-09-11,9,13,1977,"control",3,14,"DM",NA,NA,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"control",8,25,"DS","F",50,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
3,3,1977-09-11,9,13,1977,"control",15,26,"DM",NA,NA,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"control",15,32,"DM",NA,NA,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"control",15,43,"DM",NA,NA,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
3,3,1977-09-11,9,13,1977,"control",15,44,"DS",NA,NA,119.9275604,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
3,3,1977-09-11,9,13,1977,"control",3,72,"DS",NA,NA,119.9275604,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"control",14,15,"DM","M",38,47,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",102.137602618615
4,4,1977-10-16,10,17,1977,"control",11,16,"DS","F",47,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"exclosure",3,22,"DO","F",36,33,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",78.3425532205783
4,4,1977-10-16,10,17,1977,"exclosure",3,24,"DO","F",37,50,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",106.989157998308
4,4,1977-10-16,10,17,1977,"control",11,24,"DM","M",36,41,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",92.1934694843704
4,4,1977-10-16,10,17,1977,"control",11,26,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
4,4,1977-10-16,10,17,1977,"exclosure",19,26,"DM","M",36,49,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",105.380274719703
4,4,1977-10-16,10,17,1977,"control",14,33,"DS","F",NA,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"exclosure",19,35,"DM","F",36,44,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",97.2079476020466
4,4,1977-10-16,10,17,1977,"exclosure",3,36,"DM","M",36,31,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",74.7538451814357
4,4,1977-10-16,10,17,1977,"exclosure",21,41,"DM","M",37,40,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
4,4,1977-10-16,10,17,1977,"control",14,42,"DM","F",35,40,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
4,4,1977-10-16,10,17,1977,"exclosure",19,46,"DM","M",36,42,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",93.8748452722046
4,4,1977-10-16,10,17,1977,"control",11,52,"DS",NA,NA,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"exclosure",19,52,"RM","M",18,13,"0","0","dipo_absent",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",38.9555894891111
4,4,1977-10-16,10,17,1977,"control",11,53,"DM","F",36,42,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",93.8748452722046
4,4,1977-10-16,10,17,1977,"exclosure",19,53,"DM","M",35,31,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",74.7538451814357
4,4,1977-10-16,10,17,1977,"control",14,55,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
4,4,1977-10-16,10,17,1977,"exclosure",3,62,"DM","M",36,39,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",88.7995411482622
4,4,1977-10-16,10,17,1977,"exclosure",15,62,"DM","M",37,48,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",103.763161232581
4,4,1977-10-16,10,17,1977,"control",14,72,"DM","M",36,45,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",98.8602380143538
4,4,1977-10-16,10,18,1977,"control",8,11,"DS","F",50,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,18,1977,"control",12,21,"DS","F",50,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
4,4,1977-10-16,10,18,1977,"control",12,22,"PF","M",16,8,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",27.0663539374619
